iter	Passed	Remaining
0	443	442571
1	444	221721
2	446	148232
3	447	111523
4	450	89618
5	451	74880
6	453	64401
7	455	56472
8	456	50291
9	457	45333
10	459	41289
11	468	38603
12	471	35766
13	472	33267
14	474	31137
15	475	29252
16	476	27571
17	480	26216
18	482	24908
19	484	23731
20	485	22635
21	487	21649
22	488	20733
23	489	19903
24	490	19136
25	493	18482
26	495	17870
27	497	17279
28	499	16717
29	500	16196
30	502	15704
31	503	15240
32	504	14795
33	506	14378
34	507	13997
35	510	13666
36	511	13318
37	512	12985
38	514	12666
39	515	12364
40	516	12079
41	517	11805
42	518	11547
43	522	11350
44	525	11151
45	527	10939
46	528	10723
47	529	10511
48	531	10308
49	532	10115
50	533	9930
51	536	9772
52	538	9620
53	540	9462
54	541	9304
55	542	9149
56	543	8998
57	545	8852
58	546	8711
59	547	8574
60	548	8441
61	553	8368
62	556	8283
63	558	8167
64	559	8050
65	560	7936
66	561	7825
67	562	7711
68	564	7611
69	566	7531
70	569	7449
71	570	7354
72	571	7260
73	572	7170
74	574	7080
75	575	6993
76	576	6907
77	577	6825
78	579	6759
79	582	6703
80	585	6645
81	587	6575
82	588	6502
83	589	6430
84	590	6356
85	591	6288
86	592	6217
87	594	6160
88	597	6111
89	598	6051
90	599	5991
91	600	5931
92	602	5872
93	603	5815
94	604	5760
95	605	5705
96	607	5651
97	609	5605
98	611	5568
99	615	5538
100	616	5490
101	617	5435
102	618	5389
103	620	5341
104	621	5294
105	622	5248
106	623	5206
107	626	5175
108	628	5133
109	629	5090
110	630	5048
111	631	5007
112	632	4967
113	633	4927
114	635	4887
115	636	4847
116	637	4812
117	642	4799
118	644	4772
119	646	4738
120	647	4703
121	648	4669
122	649	4630
123	650	4596
124	651	4563
125	653	4533
126	656	4509
127	657	4481
128	659	4453
129	660	4421
130	661	4390
131	662	4359
132	664	4329
133	665	4301
134	666	4272
135	668	4249
136	672	4234
137	674	4210
138	675	4184
139	676	4157
140	677	4130
141	688	4159
142	689	4134
143	691	4107
144	692	4081
145	693	4056
146	694	4031
147	695	4006
148	697	3982
149	699	3966
150	704	3960
151	706	3938
152	707	3915
153	708	3893
154	709	3870
155	710	3846
156	712	3824
157	714	3806
158	717	3792
159	718	3771
160	719	3750
161	720	3728
162	721	3706
163	723	3685
164	724	3665
165	725	3645
166	726	3625
167	728	3606
168	734	3610
169	735	3592
170	737	3574
171	738	3555
172	739	3536
173	740	3517
174	742	3498
175	744	3483
176	746	3471
177	748	3454
178	749	3437
179	750	3419
180	751	3399
181	752	3381
182	753	3364
183	754	3347
184	755	3329
185	757	3314
186	759	3301
187	762	3291
188	764	3279
189	765	3263
190	766	3248
191	767	3231
192	769	3216
193	770	3200
194	771	3184
195	772	3168
196	774	3155
197	776	3145
198	777	3131
199	779	3116
200	780	3101
201	781	3085
202	782	3071
203	783	3056
204	784	3042
205	785	3028
206	787	3015
207	789	3005
208	792	2998
209	793	2986
210	795	2973
211	796	2960
212	797	2947
213	799	2935
214	800	2922
215	801	2909
216	802	2897
217	804	2887
218	806	2876
219	808	2864
220	809	2852
221	810	2839
222	811	2827
223	812	2815
224	814	2803
225	815	2792
226	816	2779
227	817	2767
228	819	2759
229	823	2756
230	824	2745
231	826	2734
232	827	2723
233	828	2713
234	829	2701
235	831	2690
236	832	2679
237	833	2669
238	835	2661
239	837	2651
240	838	2640
241	839	2629
242	840	2619
243	842	2609
244	843	2598
245	844	2588
246	845	2578
247	846	2567
248	848	2558
249	851	2553
250	852	2545
251	854	2536
252	855	2526
253	856	2516
254	857	2506
255	858	2496
256	860	2486
257	861	2477
258	863	2469
259	865	2463
260	866	2454
261	868	2445
262	869	2436
263	870	2428
264	872	2419
265	873	2410
266	874	2400
267	875	2391
268	876	2382
269	878	2374
270	884	2378
271	885	2371
272	887	2362
273	888	2353
274	889	2345
275	890	2336
276	892	2328
277	894	2322
278	896	2315
279	897	2308
280	898	2299
281	899	2291
282	901	2283
283	902	2274
284	903	2266
285	904	2258
286	905	2250
287	907	2244
288	910	2240
289	913	2235
290	914	2228
291	915	2220
292	917	2213
293	918	2205
294	919	2198
295	921	2190
296	922	2184
297	924	2178
298	927	2174
299	928	2166
300	929	2159
301	930	2151
302	931	2143
303	933	2136
304	934	2128
305	935	2121
306	936	2114
307	942	2118
308	944	2111
309	945	2104
310	946	2097
311	947	2090
312	949	2083
313	950	2076
314	951	2069
315	953	2062
316	956	2061
317	958	2054
318	959	2047
319	960	2040
320	961	2034
321	962	2027
322	964	2020
323	965	2013
324	966	2006
325	967	2000
326	970	1997
327	973	1994
328	974	1988
329	976	1981
330	977	1975
331	978	1968
332	979	1961
333	980	1955
334	981	1948
335	983	1943
336	986	1940
337	988	1935
338	989	1929
339	991	1924
340	992	1918
